date,time,localCurrentTemperature,localCurrentApparentTemperature,LocalForecastedTemperature_3,LocalForecastedApparentTemperature_3,LocalForecastedTemperature_6,LocalForecastedApparentTemperature_6,localCurrentHumidity,LocalForecastedHumidity_3,LocalForecastedHumidity_6,LocalCurrent_Cloudiness,LocalForecastedCloudiness_3,LocalForecastedCloudiness_6,localCurrentUVIndex,LocalCurrent_Rain,LocalForecastedRain_3,LocalForecastedRain_6,LocalCurrent_Snow,LocalForecastedSnow_3,LocalForecastedSnow_6,SensorTemperature,SensorRelativeHumidity,SensorUltraviolet,SensorLuminance,MotionAlarm,TamperAlarm,WallPlugSwitch1_Switch_1,WallPlugSwitch1_SensorPower_1,Multisensor_outside_SensorTemperature,Multisensor_outside_SensorRelativeHumidity,Multisensor_outside_SensorUltraviolet,Multisensor_outside_SensorLuminance,Multisensor_outside_TamperAlarm,Multisensor_outside_MotionAlarm,sensor1_temperature,sensor2_temperature,sensor3_temperature,sensor4_temperature,sensor5_temperature,sensor1_humidity,sensor2_humidity,sensor3_humidity,sensor4_humidity,sensor5_humidity,Enocean_Temperature_1,Enocean_Humidity_1,Brightness_sensor_temperature_1,Brightness_Sensor_Temperature_2,Brightness_Sensor_Ambient_Brightness_1,Brightness_Sensor_Ambient_Brightness_2,Brightness_Sensor_Motion_detection_1,Brightness_Sensor_Motion_detection_2,Brightness_Sensor_Battery_1,Brightness_Sensor_Battery_2,Socket_Energy_1,Socket_Energy_2,Socket_Power_1,Socket_Power_2,Socket_Switch_1,Socket_Switch_2,Socket_Energy_3,Socket_Energy_4,Socket_Power_3,Socket_Power_4,Socket_Switch_3,Socket_Switch_4,Luminance_Sensor_Luminance_1,Luminance_Sensor_Luminance_2,Luminance_Sensor_Battery_1,Luminance_Sensor_Battery_2,Rain_Sensor_Precipitation_1,Rain_Sensor_Water_Meter_1,Rain_Sensor_Battery_1,AIR_Quality_Sensor_CO2_2,AIR_Quality_Sensor_Dew_point_2,AIR_Quality_Sensor_Humidity_2,AIR_Quality_Sensor_Temperature_2,AIR_Quality_Sensor_VOC_2,AirQualitySensor_SensorTemperature,AirQualitySensor_SensorRelativeHumidity,AirQualitySensor_SensorVOLATILE_ORGANIC_COMPOUND,AirQualitySensor_SensorDewPoint,AirQualitySensor_SensorCO2,Weather_Station_Air_Pressure_1,Weather_Station_Dew_Point_1,Weather_Station_Electricity_meter_1,Weather_Station_Heat_meter_1,Weather_Station_Humidity_1,Weather_Station_Luminance_1,Weather_Station_Temperature_1,Weather_Station_Wind_Speed_1,Rain_Sensor_Precipitation_2,Rain_Sensor_Water_Meter_2,Rain_Sensor_Battery_2,Temperature_25,Temperature_26,Temperature_27,Weather_Station_Air_Pressure_2,Weather_Station_Dew_Point_2,Weather_Station_Electricity_meter_2,Weather_Station_Heat_meter_2,Weather_Station_Humidity_2,Weather_Station_Luminance_2,Weather_Station_Temperature_2,Weather_Station_Wind_Speed_2,wind_sensor_power,wind_sensor_energy
2021-07-24,00:15:34,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,47,0,0,OFF,OFF,ON,0,18.3,72,0,0,OFF,OFF,29.4,29.5,18.81,29.4,20.57,9.0,6.0,70.37,38.0,57.8,17,62,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,55,22,0.009,32.1,31,0.01,13.2,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,69,30.11,38.12,31.63,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:16:03,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,47,0,0,OFF,OFF,ON,0,18.3,72,0,0,OFF,OFF,29.4,29.5,18.81,29.4,20.57,9.0,6.0,70.37,38.0,57.8,17,62,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,55,22,0.009,32.1,31,0.01,13.2,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,69,30.11,38.12,31.63,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:16:33,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,47,0,0,OFF,OFF,ON,0,18.2,73,0,0,OFF,OFF,29.4,29.5,18.81,29.4,20.57,9.0,6.0,70.37,38.0,57.8,17,62,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,55,22,0.009,32.1,31,0.01,13.2,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,69,30.11,38.12,31.63,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:17:03,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,47,0,0,OFF,OFF,ON,0,18.2,73,0,0,OFF,OFF,29.4,29.5,18.81,29.4,20.57,9.0,6.0,70.37,38.0,57.8,17,62,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,55,22,0.009,32.1,31,0.01,13.2,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,69,30.11,38.12,31.63,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:17:33,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,47,0,0,OFF,OFF,ON,0,18.2,73,0,0,OFF,OFF,29.4,29.5,18.81,29.4,20.57,9.0,6.0,70.37,38.0,57.8,17,62,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,55,22,0.009,32.1,31,0.01,13.2,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,69,30.11,38.12,31.63,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:18:03,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,47,0,0,OFF,OFF,ON,0,18.2,73,0,0,OFF,OFF,29.4,29.5,18.81,29.4,20.57,9.0,6.0,70.37,38.0,57.8,17,62,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,55,22,0.009,32.1,31,0.01,13.2,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,69,30.11,38.12,31.63,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:18:33,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,47,0,0,OFF,OFF,ON,0,18.1,73,0,0,OFF,OFF,29.4,29.5,18.81,29.4,20.57,9.0,6.0,70.37,38.0,57.8,17,62,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,55,22,0.009,32.1,31,0.01,13.2,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,69,30.11,38.12,31.63,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:19:02,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,47,0,0,OFF,OFF,ON,0,18.1,73,0,0,OFF,OFF,29.4,29.5,18.81,29.4,20.57,9.0,6.0,70.37,38.0,57.8,17,62,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,55,22,0.009,32.1,31,0.01,13.2,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,69,30.11,38.12,31.63,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:19:32,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,47,0,0,OFF,OFF,ON,0,18.1,74,0,0,OFF,OFF,29.4,29.5,18.81,29.4,20.57,9.0,6.0,70.37,38.0,57.8,17,62,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,55,22,0.009,32.1,31,0.01,13.2,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,69,30.11,38.12,31.63,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:20:02,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,47,0,0,OFF,OFF,ON,0,18,74,0,0,OFF,OFF,29.4,29.5,18.81,29.4,20.57,9.0,6.0,70.37,38.0,57.8,17,62,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,55,22,0.009,32.1,31,0.01,13.2,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,69,30.11,38.12,31.63,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:20:35,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,47,0,0,OFF,OFF,ON,0,18,74,0,0,OFF,OFF,29.4,29.5,18.81,29.4,20.57,9.0,6.0,70.37,38.0,57.8,17,62,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,55,22,0.009,32.1,31,0.01,13.2,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,69,30.11,38.12,31.63,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:21:05,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,47,0,0,OFF,OFF,ON,0,18,74,0,0,OFF,OFF,29.4,29.5,18.81,29.4,20.57,9.0,6.0,70.37,38.0,57.8,17,62,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,55,22,0.009,32.1,31,0.01,13.2,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.63,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:21:35,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,47,0,0,OFF,OFF,ON,0,17.9,74,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,62,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,55,22,0.009,32.1,31,0.01,13.2,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.63,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:22:05,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,24.9,47,0,0,OFF,OFF,ON,0,17.9,74,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,62,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.5,0.009,32.1,31,0.01,13.2,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.63,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:22:34,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,24.9,47,0,0,OFF,OFF,ON,0,17.9,74,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.5,0.009,31.9,31,0.01,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.63,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:23:04,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,48,0,0,OFF,OFF,ON,0,17.8,75,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.5,0.009,31.9,31,0.01,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.63,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:23:34,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,48,0,0,OFF,OFF,ON,0,17.8,75,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.5,0.009,31.9,31,0.01,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.63,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:24:04,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,48,0,0,OFF,OFF,ON,0,17.8,75,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.5,0.009,31.9,31,0.01,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:24:34,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,48,0,0,OFF,OFF,ON,0,17.8,75,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.5,0.009,31.9,31,0.01,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:25:04,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,48,0,0,OFF,OFF,ON,0,17.7,74,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.5,0.009,31.9,31,0.01,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:25:33,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,25,48,0,0,OFF,OFF,ON,0,17.7,75,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.5,0.009,31.9,31,0.01,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:26:03,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,24.9,48,0,0,OFF,OFF,ON,0,17.7,75,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.5,0.009,31.9,31,0.01,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:26:33,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,24.9,48,0,0,OFF,OFF,ON,0,17.7,75,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.5,0.009,31.9,31,0.009,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:27:03,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,24.9,48,0,0,OFF,OFF,ON,0,17.6,75,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.5,0.009,31.9,31,0.009,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:27:33,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,24.9,48,0,0,OFF,OFF,ON,0,17.6,76,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29.5,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.5,0.009,31.9,31,0.009,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:28:02,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,24.9,48,0,0,OFF,OFF,ON,0,17.6,76,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.5,0.009,31.9,31,0.009,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:28:32,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,24.9,48,0,0,OFF,OFF,ON,0,17.6,76,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.5,0.009,31.9,31,0.009,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:29:02,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,24.9,48,0,0,OFF,OFF,ON,0,17.5,76,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.3,0.009,31.9,31,0.009,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:29:32,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,24.9,48,0,0,OFF,OFF,ON,0,17.5,76,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.3,0.009,31.9,31,0.009,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,30.11,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:30:02,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,24.9,48,0,0,OFF,OFF,ON,0,17.5,76,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29,19.5,2,1,OFF,OFF,100,100,4.586,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.3,0.009,31.9,31,0.009,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,29.57,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:30:32,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,24.9,48,0,0,OFF,OFF,ON,0,17.5,76,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29,19.5,2,1,OFF,OFF,100,100,4.587,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.3,0.009,31.9,31,0.009,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,29.57,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:31:01,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,24.9,48,0,0,OFF,OFF,ON,0,17.4,76,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29,19.5,2,1,OFF,OFF,100,100,4.587,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.3,0.009,31.9,31,0.009,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,29.57,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:31:31,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,24.9,48,0,0,OFF,OFF,ON,0,17.4,76,0,0,OFF,OFF,29.4,29.5,18.81,29.4,19.91,9.0,6.0,70.37,38.0,57.8,17,63,29,19.5,2,1,OFF,OFF,100,100,4.587,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.3,0.009,31.9,31,0.009,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,29.57,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:32:01,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,24.9,48,0,0,OFF,OFF,ON,0,17.4,76,0,0,OFF,OFF,29.4,29.5,18.15,29.4,19.91,9.0,6.0,70.37,38.0,62.83,17,63,29,19.5,2,1,OFF,OFF,100,100,4.587,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.3,0.009,31.9,31,0.009,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,29.57,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
2021-07-24,00:32:31,16.22,16.27,15.42,15.39,14.33,14.25,91,91,93,12,13,30,7.32,0.0,0.0,0.0,0.0,0.0,0.0,24.9,48,0,0,OFF,OFF,ON,0,17.4,76,0,0,OFF,OFF,29.4,29.5,18.15,29.4,19.91,9.0,6.0,70.37,38.0,62.83,17,63,29,19.5,2,1,OFF,OFF,100,100,4.587,1.247,1,0.0,ON,OFF,0.764,4.355,0,0.0,OFF,ON,0,0,100,100,0,0.1315,75,623,12.6,56,21.3,0.009,31.6,31,0.009,13,717,95.7,7.2,27.71176,128837,55,21,20.8,1,0,0.314,71,29.57,38.12,31.13,95.7,12.2,10.4714,19,30,21,34.2,0,0,0
