date,time,localCurrentTemperature (°C),localCurrentApparentTemperature (°C),LocalForecastedTemperature_3 (°C),LocalForecastedApparentTemperature_3 (°C),LocalForecastedTemperature_6 (°C),LocalForecastedApparentTemperature_6 (°C),localCurrentHumidity (%),LocalForecastedHumidity_3 (%),LocalForecastedHumidity_6 (%),LocalCurrent_Cloudiness (%),LocalForecastedCloudiness_3 (%),LocalForecastedCloudiness_6 (%),localCurrentUVIndex,LocalCurrent_Rain (mm),LocalForecastedRain_3 (mm),LocalForecastedRain_6 (mm),LocalCurrent_Snow (mm),LocalForecastedSnow_3 (mm),LocalForecastedSnow_6 (mm),SensorTemperature (°C),SensorRelativeHumidity (%),SensorUltraviolet,SensorLuminance (Lux),MotionAlarm,TamperAlarm,WallPlugSwitch1_Switch_1,WallPlugSwitch1_SensorPower_1 (W),Multisensor_outside_SensorTemperature (°C),Multisensor_outside_SensorRelativeHumidity (%),Multisensor_outside_SensorUltraviolet,Multisensor_outside_SensorLuminance(Lux),Multisensor_outside_TamperAlarm,Multisensor_outside_MotionAlarm,sensor1_temperature (°C),sensor2_temperature (°C),sensor3_temperature (°C),sensor4_temperature (°C),sensor5_temperature (°C),sensor1_humidity (%),sensor2_humidity (%),sensor3_humidity (%),sensor4_humidity (%),sensor5_humidity (%),Enocean_Temperature_1 (°C),Enocean_Humidity_1 (%),Brightness_sensor_temperature_1 (°C),Brightness_Sensor_Temperature_2 (°C),Brightness_Sensor_Ambient_Brightness_1,Brightness_Sensor_Ambient_Brightness_2,Brightness_Sensor_Motion_detection_1,Brightness_Sensor_Motion_detection_2,Brightness_Sensor_Battery_1 (%),Brightness_Sensor_Battery_2 (%),Socket_Energy_1(W h),Socket_Energy_2 (W h),Socket_Power_1 (W),Socket_Power_2 (W),Socket_Switch_1,Socket_Switch_2,Socket_Energy_3 (W h),Socket_Energy_4 (W h),Socket_Power_3 (W),Socket_Power_4 (W),Socket_Switch_3,Socket_Switch_4,Luminance_Sensor_Luminance_1 (Lux),Luminance_Sensor_Luminance_2 (Lux),Luminance_Sensor_Battery_1 (%),Luminance_Sensor_Battery_2 (%),Rain_Sensor_Precipitation_1 (mm),Rain_Sensor_Water_Meter_1 (m³),Rain_Sensor_Battery_1 (%),AIR_Quality_Sensor_CO2_2 (ppm),AIR_Quality_Sensor_Dew_point_2(°C),AIR_Quality_Sensor_Humidity_2 (%),AIR_Quality_Sensor_Temperature_2 (°C),AIR_Quality_Sensor_VOC_2 (ppm),AirQualitySensor_SensorTemperature (°C),AirQualitySensor_SensorRelativeHumidity (%),AirQualitySensor_SensorVOLATILE_ORGANIC_COMPOUND (ppm),AirQualitySensor_SensorDewPoint (°C) ,AirQualitySensor_SensorCO2 (ppm),Weather_Station_Air_Pressure_1 (mBar) ,Weather_Station_Dew_Point_1 (°C),Weather_Station_Electricity_meter_1 (W),Weather_Station_Heat_meter_1,Weather_Station_Humidity_1 (%),Weather_Station_Luminance_1 (Lux),Weather_Station_Temperature_1 (°C),Weather_Station_Wind_Speed_1 (m/s),Rain_Sensor_Precipitation_2 (mm),Rain_Sensor_Water_Meter_2 (m³),Rain_Sensor_Battery_2 (%),Temperature_25 (°C),Temperature_26 (°C),Temperature_27 (°C),Weather_Station_Air_Pressure_2 (mBar),Weather_Station_Dew_Point_2 (°C),Weather_Station_Electricity_meter_2 (W),Weather_Station_Heat_meter_2,Weather_Station_Humidity_2 (%),Weather_Station_Luminance_2 (Lux),Weather_Station_Temperature_2 (°C),Weather_Station_Wind_Speed_2 (m/s),wind_sensor_power (W),wind_sensor_energy (W h),Window_opening_power (W),Window_opening_energy (W h),Slats_angle_power (W),Slats_angle_energy (W h),Window_blinds_power (W),Window_blinds_energy (W h),Weather_Station_Air_Pressure_3 (mBar),Weather_Station_Dew_Point_3 (°C),Weather_Station_Electricity_meter_3 (W),Weather_Station_Heat_meter_3,Weather_Station_Humidity_3 (%),Weather_Station_Luminance_3 (Lux),Weather_Station_Temperature_3 (°C),Weather_Station_Wind_Speed_3 (m/s),AIR_Quality_Sensor_CO2_3 (ppm),AIR_Quality_Sensor_Dew_point_3 (°C),AIR_Quality_Sensor_Humidity_3 (%),AIR_Quality_Sensor_Temperature_3 (°C),AIR_Quality_Sensor_VOC_3 (ppm),AIR_Quality_Sensor_CO2_4 (ppm),AIR_Quality_Sensor_Dew_point_4 (°C),AIR_Quality_Sensor_Humidity_4 (%),AIR_Quality_Sensor_Temperature_4 (°C),AIR_Quality_Sensor_VOC_4 (ppm),AIR_Quality_Sensor_CO2_5 (ppm),AIR_Quality_Sensor_Dew_point_5 (°C),AIR_Quality_Sensor_Humidity_5 (%),AIR_Quality_Sensor_Temperature_5 (°C),AIR_Quality_Sensor_VOC_5 (ppm), Temperature_back_PVSys_8 (°C),Temperature_inside_PVSys_9 (°C),Temperature_outside_PVSys_10 (°C),RSSI = 7: Air Flow Sensor Outside,RSSI = 8: Air Flow Sensor Inside,RSSI = 9: Air Flow Sensor Solar,RSSI = 3: Temperature_sensor_outside (°C), RSSI = 4: Temperature_sensor_inside (°C),RSSI = 5: Temperature_sensor_solar (°C),Window_opening_angle (°),Window_blinds (%),Slats_angle (°),Ventilation_Flap_switch,Switch_3_AND_4, Solar_irradiation_17 (W/m2), Solar_irradiation_18 (W/m2)
2021-10-16,09:05:10,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,25,OFF,OFF,ON,0,9.1,82,0,3774,OFF,OFF,29.4,29.5,3.85,29.4,4.18,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5,0.922,6.6,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,71,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:05:40,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,25,OFF,OFF,ON,0,9.2,83,0,3468,OFF,OFF,29.4,29.5,3.85,29.4,4.18,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5,0.922,6.6,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,71,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:06:09,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,25,OFF,OFF,ON,0,9.2,83,0,3468,OFF,OFF,29.4,29.5,3.85,29.4,4.18,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5,0.922,6.6,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,71,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:06:38,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,25,OFF,OFF,ON,0,9.2,83,0,4271,OFF,OFF,29.4,29.5,3.85,29.4,4.18,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.2,0.922,6.6,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,71,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:07:07,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,26,OFF,OFF,ON,0,9.2,83,0,4326,OFF,OFF,29.4,29.5,3.85,29.4,4.18,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.2,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,71,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:07:36,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,26,OFF,OFF,ON,0,9.3,82,0,4382,OFF,OFF,29.4,29.5,3.85,29.4,4.18,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.2,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,71,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:08:05,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,28,OFF,OFF,ON,0,9.3,82,0,4442,OFF,OFF,29.4,29.5,3.85,29.4,4.18,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.2,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,71,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:08:35,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,28,OFF,OFF,ON,0,9.3,82,0,4601,OFF,OFF,29.4,29.5,3.85,29.4,4.18,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.2,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,71,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:09:04,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,30,OFF,OFF,ON,0,9.4,82,0,4816,OFF,OFF,29.4,29.5,3.85,29.4,4.18,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.2,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,71,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:09:33,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,30,OFF,OFF,ON,0,9.4,82,0,5060,OFF,OFF,29.4,29.5,3.85,29.4,4.18,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.2,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,71,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:10:02,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,31,OFF,OFF,ON,0,9.4,81,0,5336,OFF,OFF,29.4,29.5,3.85,29.4,4.18,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.2,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,71,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:10:31,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,31,OFF,OFF,ON,0,9.5,81,0,5618,OFF,OFF,29.4,29.5,3.96,29.4,4.18,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.2,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,71,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:11:00,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.8,36,0,34,OFF,OFF,ON,0,9.5,81,0,5965,OFF,OFF,29.4,29.5,3.96,29.4,4.18,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.2,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,72,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:11:30,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.8,36,0,34,OFF,OFF,ON,0,9.6,81,0,6250,OFF,OFF,29.4,29.5,3.96,29.4,4.18,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.3,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,72,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:11:59,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,36,OFF,OFF,ON,0,9.7,81,0,6734,OFF,OFF,29.4,29.5,3.96,29.4,4.84,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.3,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,72,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:12:28,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,36,OFF,OFF,ON,0,9.7,80,0,6890,OFF,OFF,29.4,29.5,3.96,29.4,4.84,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.4,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,72,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:12:57,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,39,OFF,OFF,ON,0,9.7,80,0,7188,OFF,OFF,29.4,29.5,3.96,29.4,4.84,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.4,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,72,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:13:26,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,40,OFF,OFF,ON,0,9.8,80,0,7443,OFF,OFF,29.4,29.5,3.96,29.4,4.84,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.4,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,72,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:13:59,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.8,36,0,42,OFF,OFF,ON,0,9.9,80,0,7670,OFF,OFF,29.4,29.5,3.96,29.4,4.84,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.4,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,72,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.4,2,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:14:28,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.8,36,0,42,OFF,OFF,ON,0,9.9,80,0,7914,OFF,OFF,29.4,29.5,3.96,29.4,4.84,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.4,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,72,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.8,1,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.1,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:14:57,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,44,OFF,OFF,ON,0,1E+1,80,0,8108,OFF,OFF,29.4,29.5,3.96,29.4,4.84,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.4,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,72,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.8,1,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.6,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
2021-10-16,09:15:26,3.36,3.36,4.99,4.99,8.59,8.59,95,87,66,90,62,35,1.79,0.0,0.0,0.0,0.0,0.0,0.0,23.7,36,0,44,OFF,OFF,ON,0,1E+1,79,0,8326,OFF,OFF,29.4,29.5,3.96,29.4,4.84,9.0,6.0,100,38.0,96.24,4,92,5,5.5,38,96,OFF,OFF,100,100,7.684,6.104,1,0,ON,ON,0.922,4.372,0,0,OFF,OFF,3185,275,100,100,0,0.156,67,431,3.8,90,5.4,0.922,6.7,80,0,3.4,414,96.2,2.1,89.27535,619076,95,67,2.9,3,0,0.5635,72,6.96,17.18,8.24,96,6.7,0.13805,0,67,8,10.6,0,0,0,0,0.0,0,0.0,0.0,0.0,96.3,1.8,35.18811,66890,91,100,3.8,1,430,3.5,89,5.2,7.684,416,4.6,95,5.4,7.684,419,3.7,74,8.6,7.684,4.7,5.8,3.9,0.3,0.2,0.2,-19.10,7.90,7.90,50,99,12,ON,OFF,25.16,2.17
